"","Team","Season","Short_Passes","Goals"
"1","Arsenal","20-21",8319,53
"2","Aston Villa","20-21",5731,52
"3","Brighton","20-21",6694,39
"4","Burnley","20-21",5117,32
"5","Chelsea","20-21",10454,56
"6","Crystal Palace","20-21",5889,39
"7","Everton","20-21",6563,45
"8","Fulham","20-21",6853,26
"9","Leeds United","20-21",6970,60
"10","Leicester City","20-21",7893,64
"11","Liverpool","20-21",10789,65
"12","Manchester City","20-21",11548,82
"13","Manchester Utd","20-21",9248,70
"14","Newcastle Utd","20-21",4828,44
"15","Sheffield Utd","20-21",6006,19
"16","Southampton","20-21",7587,47
"17","Tottenham","20-21",7801,66
"18","West Brom","20-21",4418,33
"19","West Ham","20-21",5888,60
"20","Wolves","20-21",6990,34
"21","Arsenal","21-22",7325,60
"22","Aston Villa","21-22",5916,50
"23","Brentford","21-22",5201,46
"24","Brighton","21-22",7195,40
"25","Burnley","21-22",4297,32
"26","Chelsea","21-22",10628,75
"27","Crystal Palace","21-22",6553,50
"28","Everton","21-22",4889,42
"29","Leeds United","21-22",6271,42
"30","Leicester City","21-22",7751,62
"31","Liverpool","21-22",9420,94
"32","Manchester City","21-22",11713,96
"33","Manchester Utd","21-22",8162,56
"34","Newcastle Utd","21-22",4545,41
"35","Norwich City","21-22",5578,21
"36","Southampton","21-22",6089,41
"37","Tottenham","21-22",8270,63
"38","Watford","21-22",4505,33
"39","West Ham","21-22",6627,58
"40","Wolves","21-22",6533,35
"41","Arsenal","22-23",8542,84
"42","Aston Villa","22-23",6111,49
"43","Bournemouth","22-23",5412,37
"44","Brentford","22-23",5142,56
"45","Brighton","22-23",9346,68
"46","Chelsea","22-23",9510,37
"47","Crystal Palace","22-23",6005,38
"48","Everton","22-23",5336,32
"49","Fulham","22-23",5867,52
"50","Leeds United","22-23",6115,45
"51","Leicester City","22-23",7245,49
"52","Liverpool","22-23",9023,71
"53","Manchester City","22-23",11020,92
"54","Manchester Utd","22-23",8273,56
"55","Newcastle Utd","22-23",6433,64
"56","Nott'ham Forest","22-23",4046,36
"57","Southampton","22-23",5972,36
"58","Tottenham","22-23",7333,68
"59","West Ham","22-23",5883,41
"60","Wolves","22-23",6350,28
"61","Arsenal","23-24",9719,86
"62","Aston Villa","23-24",7110,72
"63","Bournemouth","23-24",4976,52
"64","Brentford","23-24",5616,54
"65","Brighton","23-24",11574,50
"66","Burnley","23-24",6311,40
"67","Chelsea","23-24",10006,76
"68","Crystal Palace","23-24",6040,56
"69","Everton","23-24",5198,40
"70","Fulham","23-24",7028,54
"71","Liverpool","23-24",9656,80
"72","Luton Town","23-24",4969,49
"73","Manchester City","23-24",12895,94
"74","Manchester Utd","23-24",7892,57
"75","Newcastle Utd","23-24",7681,83
"76","Nott'ham Forest","23-24",5510,49
"77","Sheffield Utd","23-24",4492,31
"78","Tottenham","23-24",10630,69
"79","West Ham","23-24",6043,58
"80","Wolves","23-24",7694,47
"81","Arsenal","24-25",8591,67
"82","Aston Villa","24-25",6778,56
"83","Bournemouth","24-25",5648,57
"84","Brentford","24-25",5849,65
"85","Brighton","24-25",7629,64
"86","Chelsea","24-25",8067,61
"87","Crystal Palace","24-25",5198,49
"88","Everton","24-25",5039,39
"89","Fulham","24-25",7195,53
"90","Ipswich Town","24-25",5157,35
"91","Leicester City","24-25",6703,33
"92","Liverpool","24-25",8615,85
"93","Manchester City","24-25",11071,71
"94","Manchester Utd","24-25",8233,42
"95","Newcastle Utd","24-25",7416,66
"96","Nott'ham Forest","24-25",5322,57
"97","Southampton","24-25",7279,25
"98","Tottenham","24-25",7576,61
"99","West Ham","24-25",6989,43
"100","Wolves","24-25",6855,53
